IdModeloConsolaPK,Fabricante,Categoria,Subcategoria,CodigoModeloConsola,LinkImagen,TipoProducto,Activo
1,1,1,4,GC002,gamecube-spice-orange.jpg,1,0
2,2,5,10,PS2S002,ps2slim900xx.jpg,1,1
3,2,5,7,ps2prueba003,ps2slim900xx.jpg,1,0
4,1,1,1,GCI004,gamecube-indigo.jpg,1,1
5,1,1,2,GCJ005,gamecube-jet-black.jpg,1,1
6,1,1,3,GCP006,gamecube-platinum-silver.jpg,1,1
